,permid2,Mkt_RF_coef,bm_coef,MomentumL6m_coef,mkt_cap_coef,const_coef
82,L7pTQTZyJuXseAGSBBMiSN,0.6520543824044859,-0.06713757395974432,-0.5132273016974771,0.07840103819678146,-0.6331233498940805
83,eBezxsd4vozKhjxBbQ7zVU,1.1890860095568225,0.2262687354374307,-0.10670235775256225,0.3744451695414428,-3.6325806406804264
84,X3ptLy5j8wYVgE6fxHNxFt,0.5078333980194396,0.06770978102625663,-0.0633495476869644,0.04594379325737585,-0.44107247141891054
85,V6khK8srwTJM6JH6JpsDzo,0.6638634478891752,-0.13585963515925253,-0.3045319404572899,0.018464497409434455,-0.1381544281597851
86,42aCK9d6eGUTW6CUCqX86y,0.059335814293717,0.0600478299746636,-0.23799012304949874,0.049841620273925,-0.5718224706977165
87,PjQggeBtMBtoPD66QSgypu,0.4137023279083113,0.06751592050674239,-0.6859660283282717,0.7152045709465771,-6.975840541517866
88,WfwD4r37pJAbzEo5krk6Wi,0.75955252095864,0.1825473162639087,-0.1163158694468407,1.018037186882943,-7.916183025736663
89,jduxCxQGDJouv9wnoyQDsF,0.5131409412976129,0.09155677321347275,-0.13805772725740845,0.042176004608260986,-0.42196191845344977
90,FYYUfjRXbZgAsDgjRBy7gm,1.1339135490174035,0.08942231790530095,0.1073959038516349,-0.01694211379908972,0.11225075018818043
91,GzxxW3B4MFoRoWHNTELmu8,0.7945774569229449,0.03731960012202798,0.22893352517800142,-0.02651469640410875,0.19457475085863152
92,dudWd9RNBy7QfauyxaN829,0.2582433676055579,0.8643262810160334,-0.6513278338085077,0.939672935388997,-7.2255788848281455
93,fByMFguc2H5uBFBgC7YkU6,0.561059370245206,0.1359330115950188,-0.35498589901202027,0.06532363630125937,-0.6247726097807522
94,PJ8KFwcVmZpNma6vsFayWs,0.5021536315811213,0.11520380200880442,0.008916019059912551,-0.025931401970340995,0.2672830911953261
95,cS4vSBTPgnktvfbtWfNPjH,0.3301783868572066,0.06012697969329034,-0.08630557987869404,0.019018227538365906,-0.21517631579402463
96,PKE4A5uHiB3Hkajp8Z4B8Q,0.2873451895246284,2.0406289393691197,-0.8963729190407006,1.0136477609486416,-9.805279217140649
97,5ASjbps78HVy4x4nJo3PvB,0.23239517870606513,0.4768165797110749,0.04592556588452181,0.1605680890082222,-1.5315320583651792
98,YAYkn9kfyaDLUWNgKNCoja,0.8644058439701051,0.07339698463519972,-0.3451552362124444,0.23088622592552166,-2.082172461914639
99,XAziuGM8h6APLCiR9UTzap,0.525207429480269,0.05781654335075223,0.23453922029952873,-0.023122377229322977,0.19995325409786305
100,eaHNX29oZ2ZXEjXiHuARTE,0.49630381192678785,0.7332718406205623,-0.45017856804688644,0.08850268519367632,-0.9969611500172629
101,CMnSJnrgyJtX3NyREGv6HS,0.4341296580104534,0.05122914341951403,-0.01274773052275972,0.15088129631566882,-1.381309627436171
102,HCT8hN25hT46VCykyp5KLG,0.5153637415870086,-0.04340794680432801,-0.017591917494972374,0.020401988010760097,-0.1726934800139088
103,VrjCs8K8nJuf2fDWkwZgvV,0.5403806330378951,0.03994894644429324,0.20024167157409836,0.0033892980811875972,-0.048419674238654606
104,PG7UrSKFHnnwvmpDGfhju8,0.6864633241923712,0.14812975566988165,0.30069420535224406,0.02229164535618855,-0.2568599527121679
105,RiBb3CQXeE2mYXz9KfRk4y,0.12261673439752131,0.07769107560047016,0.03302375533215714,0.11584803304539298,-0.9571184015724642
106,Hg3ArxPut6DAmLWNfF7TkC,0.2475725252880361,0.16934009967826147,0.2616835437810844,0.05229195132075681,-0.5529172794279625
107,M6kEVqccW8iMSJ4A6GamUG,0.3252169739030982,0.08540269484502891,0.04132594368574627,0.09526992051102967,-1.0357492323326376
108,XvUM8wcPQFBtkKUdToic2i,0.45198690426435106,0.1638218356628685,-0.2664441678083415,0.17186652292883126,-1.665146003803666
109,ACFGKJXpg7AR6q4THbV4pG,0.43156591161920116,0.06955030246336791,0.16361285198964587,0.07756601540252128,-0.7191655254330389
110,abES2EyBaVU3x6JKTqZSJ7,0.6112180309154994,0.19905116436282413,-0.004851500623707751,0.11415822622082239,-1.093084477627013
111,T6pvufW4nxzBDmp4sZ5Pss,0.8478290024325713,0.27092673011817836,0.08162632602920512,0.2450355047309981,-2.349735169291506
112,dWjiKtsbmdzx3gcBTbdhxo,0.9329928113111399,0.09895534785085758,0.02689841616517454,0.025815692771443022,-0.2819091097918814
